id,created_at,title,body,source,timestamp,sector,sub_sector,tags,tickers,transaction_type,holding_before,holding_after,amount_transaction,holder_type,holder_name,price,transaction_value,price_transaction,share_percentage_before,share_percentage_after,share_percentage_transaction,UID,symbol
2,2024-07-05 07:51:05.847388+00,Samuel Sofyan Tika Buy Transaction of PT Tunas Alfin Tbk,"Samuel Sofyan Tika, an insider, bought 307600 shares of PT Tunas Alfin Tbk, increasing his holdings from 2730300 to 3037900. The transaction occurred in the basic-materials sector.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/a90ab57ce2_35e109818f.pdf,2024-07-05 11:42:00,basic-materials,basic-materials,"[""bullish"",""investment"",""ownership change"",""insider trading""]","[""TALF.JK""]",buy,2730300,3037900,307600,insider,Samuel Sofyan Tika,100.0,30760000,"{""types"": [""Buy""], ""prices"": [100], ""amount_transacted"": [307600]}",,,,,TALF.JK
3,2024-07-05 10:07:35.76745+00,Insider Buying: Increase in Holdings for PT Jasnita Telekomindo Tbk.,"On July 2nd, an insider, Yentoro, increased their holdings by 385,000 shares in telecommunications company PT Jasnita Telekomindo Tbk. This brings their total ownership to 33,136,000 shares, up from 32,751,000. The significant purchase indicates confidence in the company's performance and could signal potential positive developments within the infrastructures and telecommunication sectors.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/455838cd6c_37cb90fb46.pdf,2024-07-02 10:56:00,infrastructures,telecommunication,"[""insider-trading""]","[""JAST.JK""]",buy,32751000,33136000,385000,insider,Yentoro,37,14245000,"{""prices"": [37], ""amount_transacted"": [385000]}",,,,,JAST.JK
4,2024-07-17 12:49:13.668362+00,PT Mineral Industri Indonesia (Persero) Increases Holdings in Vale Indonesia Tbk Through Insider Trading Transaction.,"On July 2, 2024, an institutional holder, PT Mineral Industri Indonesia (Persero), increased its stake in Vale Indonesia Tbk through a buy transaction, with the amount of the transaction totaling 1,596,265,945. The institution's holding before was 1,987,267,745, which rose to 3,583,533,690 after this transaction. This insider trading activity within the basic materials sector could signal confidence or strategic positioning by the institution, potentially impacting market sentiment.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/0b308d52df_87a6af7ee8.pdf,2024-07-02 19:43:00,basic-materials,basic-materials,"[""insider-trading""]","[""INCO.JK""]",buy,1987267745,3583533690,1596265945,institution,PT Mineral Industri Indonesia (Persero),3050,4868611132250,"{""prices"": [3050], ""amount_transacted"": [1596265945]}",,,,,INCO.JK
5,2024-07-05 10:19:12.862949+00,"Insider Buy Transaction of Resource Alam Indonesia Tbk by Hendro Martowardojo in Energy Sector - Oil, Gas, Coal Sub-sector on 2024-07-02.","On July 2, 2024, Insider Hendro Martowardojo bought 4,787,036 shares of Resource Alam Indonesia Tbk in the energy sector's oil, gas, coal sub-sector. The transaction reflects a significant increase in ownership from 200,000 to 4,987,036 shares. This insider buy indicates confidence in the company's performance and future prospects, potentially impacting market sentiment positively.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/cc75dc6381_70072ca3c5.pdf,2024-07-02 11:57:00,energy,oil-gas-coal,"[""insider-trading""]","[""KKGI.JK""]",buy,200000,4987036,4787036,insider,Hendro Martowardojo,540,2584999440,"{""prices"": [540], ""amount_transacted"": [4787036]}",,,,,KKGI.JK
6,2024-07-09 01:58:53.828805+00,Institutional Purchase of PT MNC Land Tbk Shares in Industrials Sector.,"On July 9, 2024, PT MNC Asia Holding Tbk made a purchase transaction of PT MNC Land Tbk shares in the consumer cyclicals sector. The transaction involved buying shares worth 37,844,600 units, increasing the entity's holdings to 18,936,679,980 shares from 18,898,835,380 shares. This indicates a positive outlook on the company's performance in the consumer cyclicals sector, potentially signaling confidence in future growth prospects.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/887ed79aba_b03e2f7ca2.pdf,2024-07-09 07:08:00,consumer-cyclicals,consumer-services,"[""insider-trading""]","[""KPIG.JK""]",buy,18898835380,18936679980,37844600,insider,PT MNC Asia Holding Tbk,80.394,3042490600,"{""prices"": [74, 79, 83], ""amount_transacted"": [6000000, 11152800, 20691800]}",,,,,KPIG.JK
7,2024-07-09 01:59:14.737666+00,Insider Buy Transaction of PT MNC Asia Holding Tbk Shares in Industrials Sector.,"On July 8, 2024, Hary Tanoesoedibjo bought 8,000,000 shares of PT MNC Asia Holding Tbk in the industrials sector, increasing his ownership from 2,230,568,300 to 2,238,568,300 shares. This transaction signifies confidence in the company's potential growth and may influence market sentiment towards the stock.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/dd8f7c082b_f0b8b0d94c.pdf,2024-07-08 17:48:00,industrials,multi-sector-holdings,"[""insider-trading""]","[""BHIT.JK""]",buy,2230568300,2238568300,8000000,insider,Hary Tanoesoedibjo,38.0,304000000,"{""prices"": [37, 41], ""amount_transacted"": [6000000, 2000000]}",,,,,BHIT.JK
8,2024-07-09 02:01:48.045922+00,Helmi Fahrudin Increases Holdings in PT Bank KB Bukopin Tbk within Financials Sector through Purchase Transaction.,"On July 8, 2024, Helmi Fahrudin bought 2,000,000 shares of PT Bank KB Bukopin Tbk in the financials sector, increasing his ownership from 482,951 to 2,482,951 shares. This significant transaction indicates confidence in the bank's future performance, potentially impacting market perception and stock price in the financial sector.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/5e7fd6be03_592446b9c8.pdf,2024-07-08 18:46:00,financials,banks,"[""insider-trading""]","[""BBKP.JK""]",buy,482951,2482951,2000000,insider,Helmi Fahrudin,54,108000000,"{""prices"": [54], ""amount_transacted"": [2000000]}",,,,,BBKP.JK
9,2024-07-09 02:02:12.160398+00,Insider Transaction Buy in PT Bank KB Bukopin Tbk in Financials Sector.,"On July 8, 2024, Woo Yeul Lee conducted a buy transaction of 3,300,000 shares in PT Bank KB Bukopin Tbk in the financials sector, increasing his ownership from 8,500,000 to 11,800,000 shares. This suggests confidence in the bank's performance with potential positive implications for its stock value and future growth in the banking industry.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/8b2bcbf143_d5ce787b78.pdf,2024-07-08 17:39:00,financials,banks,"[""insider-trading""]","[""BBKP.JK""]",buy,8500000,11800000,3300000,insider,Woo Yeul Lee,55,181500000,"{""prices"": [55], ""amount_transacted"": [3300000]}",,,,,BBKP.JK
10,2024-07-09 02:03:38.641599+00,"Noel Aelyo Laras Kusuma Negara Buys $200,000 in PT Dharma Polimetal Tbk.","On July 8, 2024, Noel Aelyo Laras Kusuma Negara made a buy transaction of $200,000 in PT Dharma Polimetal Tbk., increasing his ownership from 63,482,100 to 63,682,100 shares in the automobiles-components sub-sector. This transaction signifies confidence in the company and could impact market sentiment positively.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/7fd87ab3ea_3a4140ad22.pdf,2024-07-08 17:28:00,consumer-cyclicals,automobiles-components,"[""insider-trading""]","[""DRMA.JK""]",buy,63482100,63682100,200000,insider,Noel Aelyo Laras Kusuma Negara,980,196000000,"{""prices"": [980], ""amount_transacted"": [200000]}",,,,,DRMA.JK
11,2024-07-09 02:04:19.479891+00,Insider Buy Transaction of Samudera Indonesia Tbk by Bani Maulana Mulia in Transportation-Logistic Sector.,"On July 8, 2024, insider Bani Maulana Mulia executed a buy transaction of Samudera Indonesia Tbk in the transportation-logistic sector worth $2,705,000. This transaction increased the insider's ownership from 45,494,900 to 48,199,900 shares. The significant purchase by an insider could indicate confidence in the company's future prospects or positive developments within the transportation-logistic sector, potentially signaling a bullish outlook for the company's performance.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/bbfcdfe341_53954a509e.pdf,2024-07-08 16:50:00,transportation-logistic,logistics-deliveries,"[""insider-trading""]","[""SMDR.JK""]",buy,45494900,48199900,2705000,insider,Bani Maulana Mulia,368.495,996780000,"{""prices"": [368, 370], ""amount_transacted"": [2035000, 670000]}",,,,,SMDR.JK
12,2024-07-05 11:28:54.979669+00,"PT Paraga Artamida Increases Holdings in PT Bumi Serpong Damai Tbk - July 4, 2024.","On July 4, 2024, PT Paraga Artamida purchased 7,034,700 shares of PT Bumi Serpong Damai Tbk, a real estate company, increasing their ownership to 8,510,303,364 shares from 8,503,268,664 shares. This transaction suggests confidence in the company's future prospects within the real estate sector, potentially signaling positive sentiment and future growth expectations for PT Bumi Serpong Damai Tbk.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/1e2c25ed5e_97449d36fa.pdf,2024-07-04 20:57:00,properties-real-estate,properties-real-estate,"[""insider-trading""]","[""BSDE.JK""]",buy,8503268664,8510303364,7034700,institution,PT Paraga Artamida,953,6704069100,"{""prices"": [953], ""amount_transacted"": [7034700]}",,,,,BSDE.JK
13,2024-07-09 02:08:09.038451+00,Increase in Insider Holdings: Gema Grahasarana Tbk. Purchased by Dr. Pulung Peranginangin.,"On July 8, 2024, an insider buy transaction of Gema Grahasarana Tbk. by Dr. Pulung Peranginangin occurred, involving an amount of 41,500 units. The insider holding increased from 2,791,400 to 2,832,900 units within the consumer-cyclicals sector, specifically in household goods. This transaction indicates insider confidence in the company's prospects, potentially signaling positive future performance.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/7097f1d3d9_9fb09fdaa3.pdf,2024-07-08 15:01:00,consumer-cyclicals,household-goods,"[""insider-trading""]","[""GEMA.JK""]",buy,2791400,2832900,41500,insider,Dr. Pulung Peranginangin,294.84,12235860.0,"{""prices"": [294.84], ""amount_transacted"": [41500]}",,,,,GEMA.JK
14,2024-07-09 02:13:29.016172+00,Darmawan Suryadi SM Increases Stake in PT Armada Berjaya Trans Tbk. through $3.0M Share Purchase.,"On July 8, 2024, Darmawan Suryadi SM bought $3.0 million worth of shares in PT Armada Berjaya Trans Tbk, increasing his ownership from 145,478,330 to 148,526,330 shares in the logistics-deliveries sub-sector. This transaction suggests confidence in the company's potential growth and may influence market sentiment towards the stock.",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202407/eac325e665_de931fab6b.pdf,2024-07-08 14:13:00,transportation-logistic,logistics-deliveries,"[""insider-trading""]","[""JAYA.JK""]",buy,145478330,148526330,3048000,insider,Darmawan Suryadi SM,86,262128000,"{""prices"": [86], ""amount_transacted"": [3048000]}",,,,,JAYA.JK
