id,old_holder_type,new_holder_type,old_sector,new_sector,old_sub_sector,new_sub_sector,changed,action
2,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
3,"""insider""","""insider""","""infrastructures""","""infrastructures""","""telecommunication""","""telecommunication""",False,skip
4,"""institution""","""institution""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
5,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
6,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
7,"""insider""","""insider""","""industrials""","""industrials""","""multi-sector-holdings""","""multi-sector-holdings""",False,skip
8,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
9,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
10,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""automobiles-components""","""automobiles-components""",False,skip
11,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
12,"""institution""","""institution""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""",False,skip
13,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
14,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
15,"""institution""","""institution""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
16,"""institution""","""institution""","""financials""","""financials""","""financing-service""","""financing-service""",False,skip
17,"""institution""","""institution""","""financials""","""financials""","""financing-service""","""financing-service""",False,skip
18,"""insider""","""insider""","""industrials""","""industrials""","""multi-sector-holdings""","""multi-sector-holdings""",False,skip
19,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
20,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
21,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
22,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
23,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
24,"""insider""","""insider""","""infrastructures""","""infrastructures""","""heavy-constructions-civil-engineering""","""heavy-constructions-civil-engineering""",False,skip
25,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
26,"""insider""","""insider""","""financials""","""financials""","""insurance""","""insurance""",False,skip
27,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
28,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
29,"""insider\n""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
38,"""institution""","""institution""","""healthcare""","""healthcare""","""pharmaceuticals-health-care-research""","""pharmaceuticals-health-care-research""",False,skip
39,"""institution""","""institution""","""healthcare""","""healthcare""","""pharmaceuticals-health-care-research""","""pharmaceuticals-health-care-research""",False,skip
55,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
56,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
58,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
59,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
60,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
61,"""institution""","""institution""","""financials""","""financials""","""holding-investment-companies""","""holding-investment-companies""",False,skip
62,"""institution""","""institution""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
63,"""institution""","""institution""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
64,"""institution""","""institution""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
65,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
66,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
